Package                     Current    Wanted   Latest  Location  Depended by
@graphql-tools/schema       MISSING     7.1.5  10.0.25  -         gh-issue-solver-1757939141948
@types/mocha                MISSING     5.2.7  10.0.10  -         gh-issue-solver-1757939141948
@types/node                 MISSING  12.20.55   24.4.0  -         gh-issue-solver-1757939141948
@types/ws                   MISSING    8.18.1   8.18.1  -         gh-issue-solver-1757939141948
apollo-server               MISSING    3.13.0   3.13.0  -         gh-issue-solver-1757939141948
apollo-server-core          MISSING     3.6.2   3.13.0  -         gh-issue-solver-1757939141948
apollo-server-express       MISSING     3.6.2   3.13.0  -         gh-issue-solver-1757939141948
chai                        MISSING     4.5.0    6.0.1  -         gh-issue-solver-1757939141948
debug                       MISSING     4.4.3    4.4.3  -         gh-issue-solver-1757939141948
dotenv                      MISSING    16.6.1   17.2.2  -         gh-issue-solver-1757939141948
express                     MISSING    4.21.2    5.1.0  -         gh-issue-solver-1757939141948
graphql                     MISSING   15.10.1  16.11.0  -         gh-issue-solver-1757939141948
graphql-subscriptions       MISSING     1.2.1    3.0.0  -         gh-issue-solver-1757939141948
graphql-tag                 MISSING    2.12.6   2.12.6  -         gh-issue-solver-1757939141948
graphql-ws                  MISSING    5.16.2    6.0.6  -         gh-issue-solver-1757939141948
lodash                      MISSING   4.17.21  4.17.21  -         gh-issue-solver-1757939141948
mocha                       MISSING     6.2.3   11.7.2  -         gh-issue-solver-1757939141948
nice-grpc                   MISSING    2.1.12   2.1.12  -         gh-issue-solver-1757939141948
puppeteer                   MISSING   24.20.0  24.20.0  -         gh-issue-solver-1757939141948
react                       MISSING    18.3.1   19.1.1  -         gh-issue-solver-1757939141948
request                     MISSING    2.88.2   2.88.2  -         gh-issue-solver-1757939141948
request-promise             MISSING     4.2.6    4.2.6  -         gh-issue-solver-1757939141948
subscriptions-transport-ws  MISSING    0.9.19   0.11.0  -         gh-issue-solver-1757939141948
tinkoff-sdk-grpc-js         MISSING    1.19.5   1.19.5  -         gh-issue-solver-1757939141948
ts-mocha                    MISSING     6.0.0   11.1.0  -         gh-issue-solver-1757939141948
tslint                      MISSING    5.20.1   5.20.1  -         gh-issue-solver-1757939141948
tslint-config-airbnb        MISSING    5.11.2   5.11.2  -         gh-issue-solver-1757939141948
tslint-eslint-rules         MISSING     5.4.0    5.4.0  -         gh-issue-solver-1757939141948
typescript                  MISSING    3.9.10    5.9.2  -         gh-issue-solver-1757939141948
uniqid                      MISSING     5.4.0    5.4.0  -         gh-issue-solver-1757939141948
ws                          MISSING    8.18.3   8.18.3  -         gh-issue-solver-1757939141948
